,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
129,PLAN,Q4006,has part,OF THE PLAN,id-less,13
130,OF THE PLAN,id-less,part of,PLAN,Q4006,13
131,goods,Q2424752,different from,services,Q114080183,13
132,national,Q53247,has part,local,Q11851202,13
133,Government of Lao PDR,id-less,country,Lao PDR,Q819,12
134,secondary,Q28469712,subclass of,education,Q8434,12
135,Lao,Q819,said to be the same as,PDR,Q18967481,12
136,accountability,Q2798912,subclass of,transparency,Q3026325,12
137,education,Q8434,part of,health,Q12147,12
138,infrastructure,Q121359,use,transport,Q7590,12
139,economic,Q8134,has part,development,Q1074523,12
140,district,Q123705,located in the administrative territorial entity,provincial,Q7252609,12
141,provincial,Q7252609,contains administrative territorial entity,district,Q123705,12
142,DPs,Q1061846,subclass of,CSOs,Q22808416,12
143,higher,Q1617905,subclass of,education,Q8434,12
144,2016/17,Q25936413,has part,Means,Q12894677,12
145,2016/17,Q25936413,has part,Targets,Q852162,12
146,rule of law,Q44918,subclass of,justice,Q16533,12
147,Liberian people,Q99735521,country,Liberia,Q1014,12
148,1,Q199,followed by,2,Q200,12
149,development,Q1074523,part of,economic,Q8134,12
150,Outcome,Q2995644,part of,Strategy,Q185451,12
151,PDR,Q18967481,said to be the same as,Lao,Q819,12
152,Means,Q12894677,part of,2016/17,Q25936413,12
153,Vientiane,Q9326,instance of,Capital,Q193893,12
154,Targets,Q852162,part of,2016/17,Q25936413,12
155,monitoring,Q2143522,subclass of,evaluation,Q1379672,12
156,equality,Q842346,facet of,gender,Q48277,12
157,AGENDA 2063,Q56296197,point in time,2063,Q1044976,12
158,laws,Q22096098,has part,regulations,Q106947327,12
159,Government of Liberia,id-less,country,Liberia,Q1014,11
160,COST,Q240673,facet of,PROJECT,Q170584,11
161,international,Q1072012,has part,regional,Q1218597,11
162,peace,Q454,said to be the same as,reconciliation,Q1194317,11
163,Strategy,Q185451,has part,Outcome,Q2995644,11
164,peace,Q454,said to be the same as,security,Q2526135,11
165,education,Q8434,has part,training,Q216033,11
166,security,Q2526135,said to be the same as,peace,Q454,11
167,reconciliation,Q1194317,said to be the same as,peace,Q454,11
168,economic,Q8134,has part,social development,Q15765794,11
169,population,Q33829,has effect,development,Q1074523,11
170,training,Q216033,part of,education,Q8434,11
171,sustainable,Q66095801,subclass of,growth,Q1342838,11
172,Roads,Q913035,owned by,Agencies,Q392918,11
173,social development,Q15765794,part of,economic,Q8134,11
174,planning,Q309100,part of,development,Q1074523,11
175,Agencies,Q392918,owner of,Roads,Q913035,11
176,School census report,Q59928257,part of,EMIS,Q17139931,11
177,agencies,Q392918,part of,ministries,Q192350,11
178,development,Q1074523,has cause,population,Q33829,11
179,HMIS,Q9350463,subsidiary,MICS,Q6744445,10
180,MICS,Q6744445,parent organization,HMIS,Q9350463,10
181,welfare,Q12002092,part of,social,Q345367,10
182,policies,Q47011897,part of,laws,Q22096098,10
183,MHC.,id-less,instance of,MHC,Q1140542,10
184,education,Q8434,facet of,health,Q12147,10
185,vulnerable,Q278113,subclass of,groups,Q9281006,10
186,food security,Q1229911,facet of,food,Q2095,10
187,tourism,Q49389,instance of,industry,Q8148,10
188,sanitation,Q949149,subclass of,hygiene,Q162297,10
189,population,Q33829,country,Liberia,Q1014,10
190,2020,Q25337,follows,2019,Q25274,10
191,i,Q1103,has part,t,Q127,10
192,Responsible,Q3933467,subclass of,Verification,Q953429,10
193,1970s,Q35014,point in time,1970,Q2474,10
194,PDR,Q18967481,language used,Lao,Q819,10
195,MoLRD.,id-less,part of,MoLRD,id-less,10
196,Goal,Q4503831,part of,Sector Goal,id-less,10
197,Police,Q35535,country,Malawi,Q1020,10
198,MoLRD,id-less,has part,MoLRD.,id-less,10
199,sustainable,Q66095801,subclass of,development,Q1074523,10
200,DPs,Q1061846,different from,CSOs,Q22808416,10
201,t,Q127,part of,i,Q1103,10
202,secondary education,Q14623204,subclass of,education,Q8434,10
203,women,Q467,subclass of,children,Q7569,10
204,delivery,Q7590,subclass of,service,Q7406919,10
205,Sector Goal,id-less,has part,Goal,Q4503831,10
206,regulations,Q106947327,part of,laws,Q22096098,10
207,district,Q123705,located in the administrative territorial entity,national,Q53247,10
208,health,Q12147,facet of,education,Q8434,10
209,national,Q53247,contains administrative territorial entity,district,Q123705,10
210,absolute poverty,Q2714378,subclass of,poverty,Q10294,10
211,CSOs,Q22808416,different from,DPs,Q1061846,10
212,MoLGRD,id-less,parent organization,DoDMA,Q5287955,10
213,women,Q467,opposite of,youth,Q190007,10
214,food,Q2095,studied by,nutrition,Q2138622,9
215,research,Q42240,part of,scientific,Q42240,9
216,MAC,Q75687,has part,MACs,Q18028763,9
217,infrastructure,Q121359,part of,development,Q1074523,9
218,rural areas,Q175185,opposite of,urban,Q159313,9
219,3,Q201,follows,2,Q200,9
220,history,Q309,facet of,Liberia,Q1014,9
221,implementation,Q245962,facet of,SDGs,Q7649586,9
222,SDGs,Q7649586,main subject,SDG,Q7649586,9
223,SDG,Q7649586,has part,1,Q199,9
224,DoDMA,Q5287955,subsidiary,MoLGRD,id-less,9
225,MACs,Q18028763,part of,MAC,Q75687,9
226,teaching,Q352842,subclass of,learning,Q133500,9
227,Nimba,Q868497,instance of,counties,Q1350181,9
228,MPI 2015,id-less,point in time,2015,Q2002,9
229,Global Targets,Q97636245,instance of,Targets,Q852162,9
230,1,Q199,part of,SDG,Q7649586,9
231,Government of Malawi,Q46628390,country,Malawi,Q1020,9
232,urban,Q159313,opposite of,rural areas,Q175185,9
233,Jobs,Q392825,part of,Economy,Q159810,9
234,Government,Q7188,country,Liberia,Q1014,9
235,health,Q12147,subclass of,services,Q114080183,9
236,g,Q41803,has part,n,Q659,9
237,Economy,Q159810,has part,Jobs,Q392825,9
238,MLGRD,id-less,instance of,Reports,Q10870555,8
239,SDGs,Q7649586,has part,3,Q201,8
240,"Peace, Security and Rule of Law",id-less,facet of,Rule of Law,Q44918,8
241,development,Q1074523,has part,growth,Q1342838,8
242,1.2,Q22231111,followed by,2,Q200,8
243,Public,Q294440,different from,Private,Q158668,8
244,natural,Q747691,part of,environment,Q2249676,8
245,MOLSW,Q109804805,point in time,2015,Q2002,8
246,MoFEPD,id-less,instance of,reports,Q10870555,8
247,DoDMA,Q5287955,product or material produced,Reports,Q10870555,8
248,MoFEPD,id-less,subsidiary,MoLGRD,id-less,8
249,Institutions,Q27711101,field of work,Research,Q42240,8
250,women,Q467,has part,children,Q7569,8
251,TTCs.,id-less,part of,TTC,Q17978,8
252,MoLGRD,id-less,parent organization,MoFEPD,id-less,8
253,county,Q19470,instance of,gender,Q48277,8
254,2019,Q25274,follows,2018,Q25291,8
255,teacher,Q37226,field of this occupation,education,Q8434,8
256,NSO,Q33890,subsidiary,MoLYSMD,id-less,8
257,Progress Update,Q37129735,facet of,global framework,Q56297849,8
258,Government,Q7188,country,Lao PDR,Q819,8
259,implementation,Q245962,part of,development,Q1074523,8
260,rural,Q7380465,opposite of,urban areas,Q58259934,8
261,President,Q30461,country,Republic of Liberia,Q1014,8
262,secondary,Q28469712,subclass of,schools,Q3914,8
263,Lao PDR,Q819,capital,Vientiane,Q9326,8
264,women,Q467,different from,girls,Q6581072,8
265,Private,Q158668,different from,Public,Q294440,8
266,Governance,Q1553864,facet of,Public,Q294440,8
267,vocational,Q322563,subclass of,education,Q8434,8
268,research,Q42240,has part,development,Q1074523,8
269,NAC,Q375613,parent organization,MoLGRD,id-less,8
270,Proportion,Q2631509,part of,SDG,Q7649586,8
271,MoLYSMD,id-less,parent organization,NSO,Q33890,8
272,girls,Q6581072,different from,women,Q467,8
273,New project,Q113698645,instance of,project,Q170584,8
274,girls,Q6581072,subclass of,women,Q467,8
275,agriculture,Q11451,instance of,sectors,Q2739810,8
276,Republic of Liberia,Q1014,office held by head of government,President,Q30461,8
277,Vientiane,Q9326,country,Lao PDR,Q819,8
278,TTC,Q17978,has part,TTCs.,id-less,8
279,TARGETSAU 2063,id-less,point in time,2063,Q1044976,8
280,urban areas,Q58259934,opposite of,rural,Q7380465,8
281,triple heritage,Q20601205,facet of,society,Q8425,7
282,natural,Q747691,subclass of,resources,Q1554231,7
283,health,Q12147,instance of,sector,Q3958441,7
284,development,Q1074523,part of,research,Q42240,7
285,Survey,Q747810,publisher,LSB,Q3436689,7
286,programmes,Q39071357,part of,policies,Q47011897,7
287,county,Q19470,located in the administrative territorial entity,national,Q53247,7
288,health,Q12147,has part,nutrition,Q2138622,7
289,processing,Q6661985,part of,production,Q739302,7
290,MoNREM,Q1078494,subclass of,EAD,Q170420,7
291,infrastructure,Q121359,subclass of,investment,Q4290,7
292,PROJECT,Q170584,has part,OUTPUTS,Q54919667,7
293,women,Q467,instance of,gender,Q48277,7
294,Science,Q336,has part,Technology,Q11016,7
295,Organisations,Q43229,part of,Sector,Q3958441,7
296,Sector,Q3958441,part of,Area,Q56061,7
297,2017,Q25290,follows,2016,Q25245,7
298,Kenya Vision 2030,Q6392757,point in time,2030,Q12799,7
299,Jo bs,id-less,part of,Economy,Q159810,7
300,revenue,Q850210,has part,expenditure,Q760120,7
301,NSO,Q33890,subsidiary,MFEPD,id-less,7
302,implementation,Q245962,part of,planning,Q309100,7
303,Female,Q43445,opposite of,Male,Q6581097,7
304,primary,Q669262,subclass of,education,Q8434,7
305,mining,Q44497,has part,FDI,Q490513,7
306,Economy,Q159810,has part,Jo bs,id-less,7
307,development,Q1074523,facet of,country,Q6256,7
308,Economic Transformation,Q19602103,subclass of,Transformation,Q461499,7
309,corruption,Q366,subclass of,cases,Q36870299,7
310,projected value,Q72726871,facet of,Lineary,Q114014622,7
311,infrastructure,Q121359,facet of,ec onomic growth,id-less,7
312,Sub-Saharan,Q132959,continent,Africa,Q15,7
313,protection,Q179073,part of,social,Q345367,7
314,3,Q201,part of,SDG,Q7649586,7
315,sanitation,Q949149,subclass of,facilities,Q15761653,7
316,Forest,Q4421,studied by,Forestry,Q38112,7
317,Forestry,Q38112,studies,Forest,Q4421,7
318,17.1,Q6745556,point in time,17,Q40118,7
319,Universities,Q3918,different from,Colleges,Q762266,7
320,One,Q199,part of,TVET,Q18286682,7
321,2015,Q2002,followed by,2016,Q25245,7
322,TVET,Q18286682,has part,One,Q199,7
323,Bong,Q502672,instance of,counties,Q1350181,7
324,services,Q114080183,subclass of,goods,Q2424752,7
325,levels,Q2315784,instance of,level,Q1046315,7
326,exploitation,Q600571,subclass of,abuse,Q600571,7
327,middle,Q23595,subclass of,income,Q850210,7
328,human rights,Q8458,facet of,human,Q5,7
329,MFEPD,id-less,parent organization,NSO,Q33890,7
330,SDG,Q7649586,has part,3,Q201,7
331,training,Q216033,practiced by,teacher,Q37226,7
332,effective,Q5347238,subclass of,efficient,Q1034411,7
333,population,Q33829,country,Malawi,Q1020,7
334,public,Q294440,opposite of,private sector,Q591763,7
335,The Government,Q7737401,part of,Government,Q7188,7
336,food security,Q1229911,facet of,nutrition,Q2138622,7
337,capital,Q193893,part of,market,Q330284,7
338,OUTPUTS,Q54919667,part of,PROJECT,Q170584,7
339,Male,Q6581097,opposite of,Female,Q43445,7
340,Liberia,Q1014,continent,Africa,Q15,7
341,Liberia,Q1014,ethnic group,Liberian people,Q99735521,7
342,1 Indicator,id-less,point in time,1,Q199,7
343,budgeting,Q41263,part of,planning,Q309100,7
344,SDG,Q7649586,has part,Proportion,Q2631509,7
345,SDG indicators,id-less,part of,SDG,Q7649586,7
346,services,Q114080183,part of,production,Q739302,7
347,education,Q8434,has part,skills,Q10670181,7
348,Human Development,Q2347178,subclass of,Development,Q1074523,7
349,ACTIVITIES,Q61788060,has part,PROGRAMMES,Q39071357,7
350,postal,Q700905,subclass of,services,Q114080183,7
351,technical,Q569612,subclass of,education,Q8434,7
352,MACRO,Q629579,subclass of,NGOs,Q11788357,7
353,agriculture,Q11451,instance of,sector,Q3958441,7
354,extreme poverty,Q2714378,subclass of,poverty,Q10294,7
355,MSMEs,Q114049607,subclass of,SME,Q56760250,7
356,CSOs,Q22808416,part of,private sector,Q591763,7
357,youth,Q190007,opposite of,women,Q467,7
358,teacher,Q37226,field of this occupation,training,Q216033,7
359,technology,Q11016,has effect,innovation,Q174165,7
360,skills,Q10670181,part of,education,Q8434,7
361,Area,Q56061,has part,Sector,Q3958441,7
362,secondary,Q28469712,subclass of,school,Q3914,7
363,national,Q53247,contains administrative territorial entity,county,Q19470,6
364,2020,Q25337,followed by,2022,Q49625,6
365,SDG,Q7649586,has part,SDG implementation,id-less,6
366,Population,Q33829,part of,Health,Q12147,6
367,Short-term interventions,Q38579888,followed by,Mid-term interventions,id-less,6
368,rural,Q7380465,subclass of,communities,Q177634,6
369,education,Q8434,practiced by,teacher,Q37226,6
370,MGDS III,id-less,instance of,Target,Q1046951,6
371,primary education,Q975085,subclass of,education,Q8434,6
372,tourism,Q49389,subclass of,investment,Q4290,6
373,h,Q129,part of,w h,Q19365412,6
374,Liberia National Police,id-less,country,Liberia,Q1014,6
375,resources,Q1554231,facet of,human resources,Q5467169,6
376,Short-Term Interventions,Q38579888,followed by,Medium-Term,Q22294920,6
377,National,Q53247,conferred by,The National,Q1142566,6
378,Technology,Q11016,part of,Science,Q336,6
379,Activities,Q61788060,part of,Strategies,Q185451,6
380,Liberians,Q99735521,country,Liberia,Q1014,6
381,Commissions,Q58789928,subclass of,Agencies,Q392918,6
382,rule of law,Q44918,subclass of,law,Q7748,6
383,strategies,Q185451,part of,policies,Q47011897,6
384,expenditure,Q760120,part of,revenue,Q850210,6
385,legislation,Q820655,has part,regulations,Q106947327,6
386,Strategies,Q185451,has part,Activities,Q61788060,6
387,international integration,Q56386363,part of,regional,Q1218597,6
388,disaster,Q3839081,studied by,risk management,Q189447,6
389,"MDHS Report, 2016",id-less,point in time,2016,Q25245,6
390,PROJECT,Q170584,said to be the same as,OUTPUT,Q1150771,6
391,disaster,Q3839081,subclass of,risk,Q104493,6
392,Rural,Q7380465,subclass of,Development,Q1074523,6
393,elderly,Q1358789,subclass of,persons,Q5,6
394,regional,Q1218597,has part,international integration,Q56386363,6
395,Medium-Term,Q22294920,follows,Short-Term Interventions,Q38579888,6
396,Pro-Poor Agenda,id-less,part of,Agenda For Prosperity And Development,id-less,6
397,2000s,Q35024,point in time,2000,Q1985,6
398,Sector,Q3958441,has part,Public,Q294440,6
399,facilities,Q15761653,part of,health,Q12147,6
400,developing countries,Q177323,subclass of,countries,Q6256,6
401,private sector,Q591763,opposite of,public,Q294440,6
402,youth,Q190007,opposite of,adults,Q80994,6
403,School Census,Q59927840,subclass of,Annual,Q192691,6
404,children,Q7569,part of,women,Q467,6
405,district,Q123705,located in the administrative territorial entity,county,Q19470,6
406,secondary,Q28469712,followed by,tertiary,Q188645,6
407,social,Q345367,has part,protection,Q179073,6
408,i n g,Q992115,has part,g,Q41803,6
409,2,Q200,part of,SDG,Q7649586,6
410,Kenya,Q114,member of,SDGs,Q7649586,6
411,projects,Q93241073,part of,programmes,Q39071357,6
412,government,Q7188,has part,budget,Q41263,6
413,planning,Q309100,part of,management,Q2920921,6
414,8th,Q28469718,followed by,9th NSEDP,id-less,6
415,2015,Q2002,followed by,2018,Q25291,6
416,objectives,Q94315724,subclass of,goals,Q4503831,6
417,development,Q1074523,continent,Africa,Q15,6
418,market,Q330284,has part,capital,Q193893,6
419,SDG,Q7649586,has part,2,Q200,6
420,SDG,Q7649586,country,Malawi,Q1020,6
421,disaggregated,Q65075740,subclass of,data,Q42848,6
422,resilient,Q403605,subclass of,sustainable,Q66095801,6
423,Traditional,Q56260622,subclass of,leaders,Q55361732,6
424,Agenda 2030,Q7649586,point in time,2030,Q12799,6
425,infrastructure,Q121359,part of,sector,Q3958441,6
426,SDGs,Q7649586,country,Malawi,Q1020,6
427,health,Q12147,has part,facilities,Q15761653,6
428,DNP&W,Q5287519,continent,Africa,Q15,6
429,SDGi,id-less,instance of,Implementation,Q245962,6
430,regions,Q429976,country,Liberia,Q1014,6
431,adolescents,Q360484,subclass of,youth,Q190007,6
432,infrastructure,Q121359,part of,transport,Q7590,6
433,Social Cohesion,Q553270,country,Liberia,Q1014,6
434,Government,Q7188,part of,The Government,Q7737401,6
435,Liberia,Q1014,contains administrative territorial entity,REPUBLIC OF LIBERIA,Q1014,6
436,OUTPUT,Q1150771,said to be the same as,PROJECT,Q170584,6
437,capacity,Q1347367,has part,domestic,Q144,6
438,affordable,Q1414593,subclass of,sustainable,Q66095801,6
439,county,Q19470,contains administrative territorial entity,district,Q123705,6
440,monetary policy,Q178476,part of,fiscal,Q1419659,6
441,1.4,Q30339152,point in time,1,Q199,6
442,REPUBLIC OF LIBERIA,Q1014,country,Liberia,Q1014,6
443,public schools,Q3120094,subclass of,schools,Q3914,6
444,natural resources,Q105575840,part of,environment,Q2249676,6
445,programmes,Q39071357,has part,projects,Q93241073,6
446,UNMIL,Q1278645,country,Liberia,Q1014,6
447,early,Q40719727,subclass of,warning,Q23817739,6
448,local,Q11851202,subclass of,levels,Q2315784,6
449,UNMIL,Q1278645,instance of,civilian,Q206887,6
450,economic development,Q4530482,subclass of,development,Q1074523,6
451,MoHAIS,Q2061674,parent organization,MoD,Q865493,6
452,sustainable,Q66095801,subclass of,economic growth,Q189833,6
453,Health,Q12147,has part,Population,Q33829,6
454,REPUBLIC OF LIBERIA RISING 20 30,id-less,country,REPUBLIC OF LIBERIA,Q1014,6
455,markets,Q110249433,part of,international,Q1072012,6
456,Agenda For Prosperity And Development,id-less,has part,Pro-Poor Agenda,id-less,6
457,Reconciliation Index,id-less,instance of,Index,Q873506,6
458,adults,Q80994,opposite of,youth,Q190007,6
459,AGENDA FOR TRANSFORMATION,id-less,country,REPUBLIC OF LIBERIA,Q1014,6
460,counties,Q1350181,country,Liberia,Q1014,6
461,Base,Q191360,said to be the same as,Year,Q577,6
462,w h,Q19365412,has part,h,Q129,6
463,urban,Q159313,opposite of,rural area,Q175185,6
464,services,Q114080183,subclass of,products,Q542929,6
465,line ministries,id-less,subclass of,CSOs,Q22808416,6
466,service delivery,Q88514508,part of,public sector,Q294217,6
467,2022,Q49625,follows,2020,Q25337,6
468,PARTS OF THE,Q718843,part of,PARTS,Q45085932,6
469,age,Q185836,different from,gender,Q48277,6
470,The Government,Q7737401,has part,Government,Q7188,6
471,PARTS,Q45085932,has part,PARTS OF THE,Q718843,6
472,SDG implementation,id-less,part of,SDG,Q7649586,6
473,Liberia,Q1014,member of,World Bank,Q7164,6
474,budget,Q41263,part of,government,Q7188,6
475,Year,Q577,said to be the same as,Base,Q191360,6
476,rural area,Q175185,opposite of,urban,Q159313,6
477,infrastructure,Q121359,country,Liberia,Q1014,6
478,Malawi,Q1020,member of,UN,Q1065,6
479,inclusive,Q75365274,subclass of,sustainable,Q66095801,6
480,agricultural,Q5356428,subclass of,commodities,Q2897903,6
481,indicators,Q21170064,part of,SDG,Q7649586,5
482,MPWT,id-less,instance of,Yearly,Q271855,5
483,Bomi,Q2495400,instance of,counties,Q1350181,5
484,14.,Q38582,point in time,14,Q38582,5
485,Gbarpolu,Q592251,instance of,counties,Q1350181,5
486,Quality Education,Q53581209,part of,SDG 4,Q98658975,5
487,PLAN,Q4006,has part,POLICIES,Q47011897,5
488,laws,Q22096098,has part,policies,Q47011897,5
489,vulnerable,Q278113,subclass of,populations,Q104619889,5
490,NSO,Q33890,subsidiary,MoAIWD,id-less,5
491,PLAN,Q4006,has part,PARTS OF THE PLAN,id-less,5
492,basic,Q42979,subclass of,education,Q8434,5
493,remote areas,Q64303346,part of,rural,Q7380465,5
494,monitoring,Q2143522,subclass of,reporting,Q11030,5
495,PLAN,Q4006,has part,THE PLAN,Q1986472,5
496,regulations,Q106947327,part of,legislation,Q820655,5
497,budget,Q41263,country,national,Q53247,5
498,Africa,Q15,has part,countries,Q6256,5
499,health,Q12147,said to be the same as,quality,Q1207505,5
500,monetary,Q8142,part of,financial,Q22687,5
501,income security,Q108554249,subclass of,security,Q2526135,5
502,budgeting,Q41263,subclass of,planning,Q309100,5
503,capital,Q193893,part of,human,Q5,5
504,16.6,Q3597604,part of,SDGs,Q7649586,5
505,central,Q57525,located in the administrative territorial entity,local,Q11851202,5
506,MGDS,Q73420129,has part,9.4,Q54605626,5
507,MGCDSW,id-less,located in the administrative territorial entity,MFEPD,id-less,5
508,targets,Q852162,different from,goals,Q4503831,5
509,responsive,Q96718754,subclass of,efficient,Q1034411,5
510,partner,Q728646,opposite of,player,Q937857,5
511,inclusive,Q75365274,continent,Africa,Q15,5
512,MGDS III,id-less,followed by,SDG,Q7649586,5
513,AREAS,Q4788688,part of,DEVELOPMENT,Q1074523,5
514,peace,Q454,said to be the same as,stability,Q403605,5
515,PARTS OF THE PLAN,id-less,part of,PLAN,Q4006,5
516,outcomes,Q38084488,part of,development,Q1074523,5
