head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
adults,Q80994,opposite of,youth,Q190007,5,adults opposite of youth,adults_Q80994,youth_Q190007
remote areas,Q64303346,part of,rural,Q7380465,5,remote areas part of rural,remote areas_Q64303346,rural_Q7380465
children,Q7569,part of,women,Q467,5,children part of women,children_Q7569,women_Q467
least developed countries,Q752401,opposite of,developed countries,Q132453,5,least developed countries opposite of developed countries,least developed countries_Q752401,developed countries_Q132453
income security,Q108554249,subclass of,security,Q2526135,5,income security subclass of security,income security_Q108554249,security_Q2526135
developing countries,Q177323,subclass of,countries,Q6256,5,developing countries subclass of countries,developing countries_Q177323,countries_Q6256
rural,Q7380465,has part,remote areas,Q64303346,5,rural has part remote areas,rural_Q7380465,remote areas_Q64303346
Quality Education,Q53581209,part of,SDG 4,Q98658975,5,Quality Education part of SDG 4,Quality Education_Q53581209,SDG 4_Q98658975
ING AGENDA,id-less,publisher,ING,Q645708,5,ING AGENDA publisher ING,ING AGENDA_id-less,ING_Q645708
PARTS OF THE PLAN,id-less,part of,PLAN,Q4006,5,PARTS OF THE PLAN part of PLAN,PARTS OF THE PLAN_id-less,PLAN_Q4006
2017,Q25290,follows,2016,Q25245,5,2017 follows 2016,2017_Q25290,2016_Q25245
SDG 4,Q98658975,has part,Quality Education,Q53581209,5,SDG 4 has part Quality Education,SDG 4_Q98658975,Quality Education_Q53581209
SDGs,Q7649586,has part,3,Q201,5,SDGs has part 3,SDGs_Q7649586,3_Q201
infrastructure,Q121359,subclass of,investment,Q4290,5,infrastructure subclass of investment,infrastructure_Q121359,investment_Q4290
legal,Q2210557,has part,regulatory,Q428148,5,legal has part regulatory,legal_Q2210557,regulatory_Q428148
service,Q7406919,different from,public,Q294440,5,service different from public,service_Q7406919,public_Q294440
MAF,Q1073939,instance of,Admin,Q4039395,5,MAF instance of Admin,MAF_Q1073939,Admin_Q4039395
SDG TARGETSAU 2063,id-less,point in time,2063,Q1044976,5,SDG TARGETSAU 2063 point in time 2063,SDG TARGETSAU 2063_id-less,2063_Q1044976
SDGs,Q7649586,main subject,SDG,Q7649586,5,SDGs main subject SDG,SDGs_Q7649586,SDG_Q7649586
responsive,Q96718754,subclass of,efficient,Q1034411,5,responsive subclass of efficient,responsive_Q96718754,efficient_Q1034411
corruption,Q366,subclass of,cases,Q36870299,5,corruption subclass of cases,corruption_Q366,cases_Q36870299
10%,Q784749,area,10,Q23806,5,10% area 10,10%_Q784749,10_Q23806
expenditure,Q760120,part of,revenue,Q850210,5,expenditure part of revenue,expenditure_Q760120,revenue_Q850210
public schools,Q3120094,subclass of,schools,Q3914,5,public schools subclass of schools,public schools_Q3120094,schools_Q3914
social,Q345367,part of,economic,Q8134,5,social part of economic,social_Q345367,economic_Q8134
2015,Q2002,followed by,2016,Q25245,5,2015 followed by 2016,2015_Q2002,2016_Q25245
2018,Q25291,follows,2014,Q1999,5,2018 follows 2014,2018_Q25291,2014_Q1999
private,Q158668,opposite of,public,Q294440,5,private opposite of public,private_Q158668,public_Q294440
localities,Q3257686,part of,sectors,Q2739810,5,localities part of sectors,localities_Q3257686,sectors_Q2739810
central,Q57525,located in the administrative territorial entity,local,Q11851202,5,central located in the administrative territorial entity local,central_Q57525,local_Q11851202
women’s,Q948442,opposite of,men’s,Q1553018,5,women’s opposite of men’s,women’s_Q948442,men’s_Q1553018
Interventions Long-Term Interventions,id-less,subclass of,Interventions,Q15763635,5,Interventions Long-Term Interventions subclass of Interventions,Interventions Long-Term Interventions_id-less,Interventions_Q15763635
medium-term,Q22294920,followed by,long-term,Q247145,5,medium-term followed by long-term,medium-term_Q22294920,long-term_Q247145
youth,Q190007,opposite of,adults,Q80994,5,youth opposite of adults,youth_Q190007,adults_Q80994
Goal 5,Q53581210,main subject,Gender equality,Q113453,5,Goal 5 main subject Gender equality,Goal 5_Q53581210,Gender equality_Q113453
public,Q294440,opposite of,private,Q158668,5,public opposite of private,public_Q294440,private_Q158668
Mid-term interventions,id-less,follows,Short-term interventions,Q38579888,5,Mid-term interventions follows Short-term interventions,Mid-term interventions_id-less,Short-term interventions_Q38579888
SDG,Q7649586,has part,SDG implementation,id-less,5,SDG has part SDG implementation,SDG_Q7649586,SDG implementation_id-less
economic,Q8134,has part,social,Q345367,5,economic has part social,economic_Q8134,social_Q345367
Paris,Q90,country,France,Q142,5,Paris country France,Paris_Q90,France_Q142
POLICIES,Q47011897,part of,PLAN,Q4006,5,POLICIES part of PLAN,POLICIES_Q47011897,PLAN_Q4006
SWGr,Q9585605,instance of,SDG indicators,id-less,5,SWGr instance of SDG indicators,SWGr_Q9585605,SDG indicators_id-less
county,Q19470,different from,gender,Q48277,5,county different from gender,county_Q19470,gender_Q48277
districts,Q5283500,part of,provinces,Q429976,5,districts part of provinces,districts_Q5283500,provinces_Q429976
monetary,Q8142,part of,financial,Q22687,5,monetary part of financial,monetary_Q8142,financial_Q22687
MPWT,id-less,instance of,Yearly,Q271855,5,MPWT instance of Yearly,MPWT_id-less,Yearly_Q271855
public,Q294440,opposite of,private sector,Q591763,5,public opposite of private sector,public_Q294440,private sector_Q591763
poverty,Q10294,subclass of,absolute,Q481201,5,poverty subclass of absolute,poverty_Q10294,absolute_Q481201
legislation,Q820655,has part,regulations,Q106947327,5,legislation has part regulations,legislation_Q820655,regulations_Q106947327
administration,Q5283295,part of,public governance,Q56758914,5,administration part of public governance,administration_Q5283295,public governance_Q56758914
women,Q467,subclass of,youth,Q190007,5,women subclass of youth,women_Q467,youth_Q190007
research,Q42240,part of,scientific,Q42240,5,research part of scientific,research_Q42240,scientific_Q42240
AIDS,Q12199,has cause,HIV,Q15787,5,AIDS has cause HIV,AIDS_Q12199,HIV_Q15787
2023,Q49622,follows,2022,Q49625,5,2023 follows 2022,2023_Q49622,2022_Q49625
PLAN,Q4006,has part,PARTS OF THE PLAN,id-less,5,PLAN has part PARTS OF THE PLAN,PLAN_Q4006,PARTS OF THE PLAN_id-less
8th NSEDP,id-less,followed by,9th NSEDP,id-less,5,8th NSEDP followed by 9th NSEDP,8th NSEDP_id-less,9th NSEDP_id-less
SDG implementation,id-less,part of,SDG,Q7649586,5,SDG implementation part of SDG,SDG implementation_id-less,SDG_Q7649586
resources,Q1554231,facet of,human resources,Q5467169,5,resources facet of human resources,resources_Q1554231,human resources_Q5467169
2022,Q49625,followed by,2023,Q49622,5,2022 followed by 2023,2022_Q49625,2023_Q49622
PLAN,Q4006,has part,POLICIES,Q47011897,5,PLAN has part POLICIES,PLAN_Q4006,POLICIES_Q47011897
PLAN,Q4006,has part,THE PLAN,Q1986472,5,PLAN has part THE PLAN,PLAN_Q4006,THE PLAN_Q1986472
local,Q11851202,contains administrative territorial entity,central,Q57525,5,local contains administrative territorial entity central,local_Q11851202,central_Q57525
programmes,Q39071357,has part,projects,Q93241073,4,programmes has part projects,programmes_Q39071357,projects_Q93241073
TARGETSCORRESPONDING,id-less,part of,SDG,Q7649586,4,TARGETSCORRESPONDING part of SDG,TARGETSCORRESPONDING_id-less,SDG_Q7649586
rights,Q780687,part of,economic,Q8134,4,rights part of economic,rights_Q780687,economic_Q8134
4,Q202,followed by,5,Q203,4,4 followed by 5,4_Q202,5_Q203
insurance,Q43183,part of,financial,Q22687,4,insurance part of financial,insurance_Q43183,financial_Q22687
e-government,Q211017,subclass of,ICT,Q5268834,4,e-government subclass of ICT,e-government_Q211017,ICT_Q5268834
On-going,Q106971903,facet of,VACS,Q740396,4,On-going facet of VACS,On-going_Q106971903,VACS_Q740396
Every 10,id-less,number of episodes,10,Q23806,4,Every 10 number of episodes 10,Every 10_id-less,10_Q23806
2016,Q25245,followed by,2018,Q25291,4,2016 followed by 2018,2016_Q25245,2018_Q25291
implementation,Q245962,facet of,SDGs,Q7649586,4,implementation facet of SDGs,implementation_Q245962,SDGs_Q7649586
SDGr indicators,id-less,part of,SDGr,Q30292073,4,SDGr indicators part of SDGr,SDGr indicators_id-less,SDGr_Q30292073
sustainable,Q66095801,subclass of,reliable,Q11348540,4,sustainable subclass of reliable,sustainable_Q66095801,reliable_Q11348540
urban,Q159313,opposite of,rural area,Q175185,4,urban opposite of rural area,urban_Q159313,rural area_Q175185
literacy,Q8236,has part,numeracy,Q140637,4,literacy has part numeracy,literacy_Q8236,numeracy_Q140637
numeracy,Q140637,part of,literacy,Q8236,4,numeracy part of literacy,numeracy_Q140637,literacy_Q8236
SDGr,Q30292073,has part,SDGr indicators,id-less,4,SDGr has part SDGr indicators,SDGr_Q30292073,SDGr indicators_id-less
DEVELOPMENT,Q1074523,part of,ECONOMIC,Q8134,4,DEVELOPMENT part of ECONOMIC,DEVELOPMENT_Q1074523,ECONOMIC_Q8134
Lao PDR,Q819,instance of,country,Q6256,4,Lao PDR instance of country,Lao PDR_Q819,country_Q6256
natural resources,Q105575840,part of,environment,Q2249676,4,natural resources part of environment,natural resources_Q105575840,environment_Q2249676
equitable quality,id-less,subclass of,quality,Q1207505,4,equitable quality subclass of quality,equitable quality_id-less,quality_Q1207505
outcomes,Q38084488,part of,development,Q1074523,4,outcomes part of development,outcomes_Q38084488,development_Q1074523
Lao PDR,Q819,located in the administrative territorial entity,PDR,Q18967481,4,Lao PDR located in the administrative territorial entity PDR,Lao PDR_Q819,PDR_Q18967481
vulnerable,Q278113,subclass of,populations,Q104619889,4,vulnerable subclass of populations,vulnerable_Q278113,populations_Q104619889
sustainable development,Q131201,subclass of,green,Q3133,4,sustainable development subclass of green,sustainable development_Q131201,green_Q3133
policy,Q1156854,part of,legal,Q2210557,4,policy part of legal,policy_Q1156854,legal_Q2210557
economic,Q8134,has part,rights,Q780687,4,economic has part rights,economic_Q8134,rights_Q780687
girls,Q6581072,subclass of,women,Q467,4,girls subclass of women,girls_Q6581072,women_Q467
private sectors,id-less,part of,public,Q294440,4,private sectors part of public,private sectors_id-less,public_Q294440
delivery,Q7590,part of,service,Q7406919,4,delivery part of service,delivery_Q7590,service_Q7406919
agriculture,Q11451,instance of,sector,Q3958441,4,agriculture instance of sector,agriculture_Q11451,sector_Q3958441
tourism,Q49389,instance of,industry,Q8148,4,tourism instance of industry,tourism_Q49389,industry_Q8148
