head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
Policy,Q1156854,has part,Legislative Matters,id-less,2,Policy has part Legislative Matters,Policy_Q1156854,Legislative Matters_id-less
5,Q203,follows,4.5,Q197243,2,5 follows 4.5,5_Q203,4.5_Q197243
Policy,Q1156854,has part,Legislation,Q820655,2,Policy has part Legislation,Policy_Q1156854,Legislation_Q820655
4.8.2 Disadvantaged Groups,id-less,is a list of,Disadvantaged Groups,Q77189624,2,4.8.2 Disadvantaged Groups is a list of Disadvantaged Groups,4.8.2 Disadvantaged Groups_id-less,Disadvantaged Groups_Q77189624
4.8,Q4637262,point in time,4,Q202,2,4.8 point in time 4,4.8_Q4637262,4_Q202
4.7,Q229874,point in time,4,Q202,2,4.7 point in time 4,4.7_Q229874,4_Q202
4.6,Q229873,point in time,4,Q202,2,4.6 point in time 4,4.6_Q229873,4_Q202
4.5,Q197243,followed by,5,Q203,2,4.5 followed by 5,4.5_Q197243,5_Q203
4.4.1,Q21119198,has part,Agriculture,Q11451,2,4.4.1 has part Agriculture,4.4.1_Q21119198,Agriculture_Q11451
Policy,Q1156854,has part,Legislative Measures,Q45045443,2,Policy has part Legislative Measures,Policy_Q1156854,Legislative Measures_Q45045443
4.3,Q4031261,part of,Water Resource Development,Q58391136,2,4.3 part of Water Resource Development,4.3_Q4031261,Water Resource Development_Q58391136
4.3,Q4031261,part of,Fuel and Energy,Q29043705,2,4.3 part of Fuel and Energy,4.3_Q4031261,Fuel and Energy_Q29043705
4.3,Q4031261,followed by,6 Postal Services,id-less,2,4.3 followed by 6 Postal Services,4.3_Q4031261,6 Postal Services_id-less
4.2,Q217363,point in time,4,Q202,2,4.2 point in time 4,4.2_Q217363,4_Q202
4.1,Q2816680,has part,Role of Government,Q113080512,2,4.1 has part Role of Government,4.1_Q2816680,Role of Government_Q113080512
3.2 Economic Empowerment,id-less,facet of,Economic Empowerment,Q63829080,2,3.2 Economic Empowerment facet of Economic Empowerment,3.2 Economic Empowerment_id-less,Economic Empowerment_Q63829080
3.4 Agricultural Development,id-less,facet of,Agricultural Development,Q65554733,2,3.4 Agricultural Development facet of Agricultural Development,3.4 Agricultural Development_id-less,Agricultural Development_Q65554733
3.4 Civil Aviation,id-less,point in time,3.4,Q29733805,2,3.4 Civil Aviation point in time 3.4,3.4 Civil Aviation_id-less,3.4_Q29733805
3.7 Environmental Management,id-less,main subject,Environmental Management,Q929380,2,3.7 Environmental Management main subject Environmental Management,3.7 Environmental Management_id-less,Environmental Management_Q929380
6 Postal Services,id-less,follows,4.3,Q4031261,2,6 Postal Services follows 4.3,6 Postal Services_id-less,4.3_Q4031261
3.5 Industrialisation,id-less,facet of,Industrialisation,Q202398,2,3.5 Industrialisation facet of Industrialisation,3.5 Industrialisation_id-less,Industrialisation_Q202398
AIDS,Q12199,has cause,HIV,Q15787,2,AIDS has cause HIV,AIDS_Q12199,HIV_Q15787
health,Q12147,subclass of,social services,Q11588306,2,health subclass of social services,health_Q12147,social services_Q11588306
12 Human Settlements and Shelter,id-less,is a list of,Shelter,Q7493941,2,12 Human Settlements and Shelter is a list of Shelter,12 Human Settlements and Shelter_id-less,Shelter_Q7493941
domestic economy,Q58729397,instance of,economy,Q159810,2,domestic economy instance of economy,domestic economy_Q58729397,economy_Q159810
women,Q467,instance of,status,Q813912,2,women instance of status,women_Q467,status_Q813912
health services,Q9353606,facet of,health,Q12147,2,health services facet of health,health services_Q9353606,health_Q12147
3 Human Resource Development,id-less,facet of,Human Resource Development,Q5366892,2,3 Human Resource Development facet of Human Resource Development,3 Human Resource Development_id-less,Human Resource Development_Q5366892
3.1 Sound Economic Management,id-less,main subject,Sound Economic Management,id-less,2,3.1 Sound Economic Management main subject Sound Economic Management,3.1 Sound Economic Management_id-less,Sound Economic Management_id-less
needs,Q37208103,has part,aspirations,Q737568,1,needs has part aspirations,needs_Q37208103,aspirations_Q737568
natural science,Q7991,has part,production,Q739302,1,natural science has part production,natural science_Q7991,production_Q739302
market,Q330284,has part,opportunit,Q193538,1,market has part opportunit,market_Q330284,opportunit_Q193538
of the elderly,id-less,said to be the same as,elderly,Q1358789,1,of the elderly said to be the same as elderly,of the elderly_id-less,elderly_Q1358789
off-shore financial centre,id-less,country,Swaziland,Q1050,1,off-shore financial centre country Swaziland,off-shore financial centre_id-less,Swaziland_Q1050
open competition,Q113443223,facet of,modes of transport,Q6889150,1,open competition facet of modes of transport,open competition_Q113443223,modes of transport_Q6889150
marketing,Q39809,product or material produced,livestock,Q4767951,1,marketing product or material produced livestock,marketing_Q39809,livestock_Q4767951
natural disasters,Q8065,has effect,safeguard against natural disasters,id-less,1,natural disasters has effect safeguard against natural disasters,natural disasters_Q8065,safeguard against natural disasters_id-less
operat ion,id-less,subclass of,ions,Q36496,1,operat ion subclass of ions,operat ion_id-less,ions_Q36496
networking,Q10336440,subclass of,linkages,Q112949139,1,networking subclass of linkages,networking_Q10336440,linkages_Q112949139
non-formal,Q64800887,subclass of,life skills,Q50929469,1,non-formal subclass of life skills,non-formal_Q64800887,life skills_Q50929469
market driven,Q6770673,part of,Tertiary education,Q136822,1,market driven part of Tertiary education,market driven_Q6770673,Tertiary education_Q136822
of decency on SNL,id-less,part of,SNL,Q13979,1,of decency on SNL part of SNL,of decency on SNL_id-less,SNL_Q13979
non-agricultural,Q7048716,subclass of,a ctivities,id-less,1,non-agricultural subclass of a ctivities,non-agricultural_Q7048716,a ctivities_id-less
market forces,Q6770677,part of,enterprises,Q5380419,1,market forces part of enterprises,market forces_Q6770677,enterprises_Q5380419
market inf ormation,id-less,subclass of,market infrastructure,Q96727381,1,market inf ormation subclass of market infrastructure,market inf ormation_id-less,market infrastructure_Q96727381
marketing,Q39809,facet of,consumer,Q22855,1,marketing facet of consumer,marketing_Q39809,consumer_Q22855
obstacle against women,id-less,facet of,women,Q467,1,obstacle against women facet of women,obstacle against women_id-less,women_Q467
networks,Q15758936,has part,infras tructure,id-less,1,networks has part infras tructure,networks_Q15758936,infras tructure_id-less
obj ectives,id-less,part of,project,Q170584,1,obj ectives part of project,obj ectives_id-less,project_Q170584
o ffshore,id-less,part of,financial services,Q5449654,1,o ffshore part of financial services,o ffshore_id-less,financial services_Q5449654
nationals,Q825838,part of,economic empowerme nt,id-less,1,nationals part of economic empowerme nt,nationals_Q825838,economic empowerme nt_id-less
nomination of stakeholder representat,id-less,part of,consultation process,Q83952239,1,nomination of stakeholder representat part of consultation process,nomination of stakeholder representat_id-less,consultation process_Q83952239
noncommunicable diseases,Q98299735,subclass of,emerging,Q5370769,1,noncommunicable diseases subclass of emerging,noncommunicable diseases_Q98299735,emerging_Q5370769
medium-term goals,id-less,subclass of,sector objectives,id-less,1,medium-term goals subclass of sector objectives,medium-term goals_id-less,sector objectives_id-less
national development planning,Q104880767,has part,impl ementation,id-less,1,national development planning has part impl ementation,national development planning_Q104880767,impl ementation_id-less
national unity,Q2199044,part of,democracy,Q7174,1,national unity part of democracy,national unity_Q2199044,democracy_Q7174
middle income country,Q25450949,subclass of,poverty alleviation,Q1824165,1,middle income country subclass of poverty alleviation,middle income country_Q25450949,poverty alleviation_Q1824165
modifying them,id-less,subclass of,modifying,Q104427955,1,modifying them subclass of modifying,modifying them_id-less,modifying_Q104427955
ministry of Home Affairs,Q6589202,subsidiary,Home Affairs,Q111145457,1,ministry of Home Affairs subsidiary Home Affairs,ministry of Home Affairs_Q6589202,Home Affairs_Q111145457
mining sector,Q23921996,subclass of,value-added,Q1434924,1,mining sector subclass of value-added,mining sector_Q23921996,value-added_Q1434924
mining sector,Q23921996,instance of,diversification,Q731453,1,mining sector instance of diversification,mining sector_Q23921996,diversification_Q731453
mining operations,Q306096,facet of,mining,Q44497,1,mining operations facet of mining,mining operations_Q306096,mining_Q44497
mining,Q44497,part of,agricultural,Q5356428,1,mining part of agricultural,mining_Q44497,agricultural_Q5356428
middle income country,Q25450949,follows,lowincome,id-less,1,middle income country follows lowincome,middle income country_Q25450949,lowincome_id-less
monitoring,Q2143522,has cause,implementation,Q245962,1,monitoring has cause implementation,monitoring_Q2143522,implementation_Q245962
middle income,Q106470198,subclass of,income,Q850210,1,middle income subclass of income,middle income_Q106470198,income_Q850210
medium,Q2249676,said to be the same as,small,Q2590065,1,medium said to be the same as small,medium_Q2249676,small_Q2590065
merit,Q1527264,said to be the same as,deserve,Q106696247,1,merit said to be the same as deserve,merit_Q1527264,deserve_Q106696247
merit,Q1527264,instance of,principle,Q211364,1,merit instance of principle,merit_Q1527264,principle_Q211364
medium enterprise,id-less,subclass of,small,Q2590065,1,medium enterprise subclass of small,medium enterprise_id-less,small_Q2590065
medium-term,Q22294920,opposite of,short,Q24862,1,medium-term opposite of short,medium-term_Q22294920,short_Q24862
monitoring,Q2143522,facet of,malisation,id-less,1,monitoring facet of malisation,monitoring_Q2143522,malisation_id-less
monitoring,Q2143522,has cause,planning,Q309100,1,monitoring has cause planning,monitoring_Q2143522,planning_Q309100
marketing,Q39809,subclass of,responsibilities,Q19096746,1,marketing subclass of responsibilities,marketing_Q39809,responsibilities_Q19096746
national biodiversity strategy and ac tion plan,id-less,has part,ac tion plan,id-less,1,national biodiversity strategy and ac tion plan has part ac tion plan,national biodiversity strategy and ac tion plan_id-less,ac tion plan_id-less
national unity,Q2199044,part of,Consolidating democracy,id-less,1,national unity part of Consolidating democracy,national unity_Q2199044,Consolidating democracy_id-less
markets,Q110249433,part of,international,Q1072012,1,markets part of international,markets_Q110249433,international_Q1072012
maximu m,id-less,facet of,stakeholder,Q852998,1,maximu m facet of stakeholder,maximu m_id-less,stakeholder_Q852998
national solidarity,Q6978602,facet of,united andindivisible nation,id-less,1,national solidarity facet of united andindivisible nation,national solidarity_Q6978602,united andindivisible nation_id-less
national priorities,Q6975053,country,national,Q53247,1,national priorities country national,national priorities_Q6975053,national_Q53247
medium-termdevelopment,id-less,opposite of,long-term prospects,Q71285849,1,medium-termdevelopment opposite of long-term prospects,medium-termdevelopment_id-less,long-term prospects_Q71285849
national airline,Q899774,parent organization,public budget,Q27998498,1,national airline parent organization public budget,national airline_Q899774,public budget_Q27998498
media,Q11033,facet of,wid er population,id-less,1,media facet of wid er population,media_Q11033,wid er population_id-less
national,Q53247,legislative body,conse nsus,id-less,1,national legislative body conse nsus,national_Q53247,conse nsus_id-less
nati onal population policy framework,id-less,has part,Population and Development Act,id-less,1,nati onal population policy framework has part Population and Development Act,nati onal population policy framework_id-less,Population and Development Act_id-less
moving target,Q3866668,subclass of,v ision,id-less,1,moving target subclass of v ision,moving target_Q3866668,v ision_id-less
monitoring,Q2143522,subclass of,evaluation,Q1379672,1,monitoring subclass of evaluation,monitoring_Q2143522,evaluation_Q1379672
monitoring,Q2143522,part of,development,Q1074523,1,monitoring part of development,monitoring_Q2143522,development_Q1074523
measurable indices,id-less,facet of,human,Q5,1,measurable indices facet of human,measurable indices_id-less,human_Q5
operations,Q3884033,part of,economy,Q159810,1,operations part of economy,operations_Q3884033,economy_Q159810
1,Q199,followed by,2,Q200,1,1 followed by 2,1_Q199,2_Q200
operators,Q3354588,field of this occupation,telecommunication,Q418,1,operators field of this occupation telecommunication,operators_Q3354588,telecommunication_Q418
policy,Q1156854,facet of,water use,Q26534,1,policy facet of water use,policy_Q1156854,water use_Q26534
pollution levels,Q86708995,studied by,water chemistry,Q912065,1,pollution levels studied by water chemistry,pollution levels_Q86708995,water chemistry_Q912065
political will,Q107259730,has part,governm ent,id-less,1,political will has part governm ent,political will_Q107259730,governm ent_id-less
political stability,Q47369905,facet of,justice,Q16533,1,political stability facet of justice,political stability_Q47369905,justice_Q16533
political forces,id-less,has part,public,Q294440,1,political forces has part public,political forces_id-less,public_Q294440
political development,Q7210285,facet of,sustainable eco nomic,id-less,1,political development facet of sustainable eco nomic,political development_Q7210285,sustainable eco nomic_id-less
political,Q82955,subclass of,tourism,Q49389,1,political subclass of tourism,political_Q82955,tourism_Q49389
policy requirements,Q47318256,part of,conventions,Q92986448,1,policy requirements part of conventions,policy requirements_Q47318256,conventions_Q92986448
policy frameworks on child,id-less,subclass of,policy,Q1156854,1,policy frameworks on child subclass of policy,policy frameworks on child_id-less,policy_Q1156854
policy formulation,Q40261861,facet of,ana lysis,id-less,1,policy formulation facet of ana lysis,policy formulation_Q40261861,ana lysis_id-less
policies,Q47011897,subclass of,procedures,Q7247166,1,policies subclass of procedures,policies_Q47011897,procedures_Q7247166
opportunit,Q193538,part of,market,Q330284,1,opportunit part of market,opportunit_Q193538,market_Q330284
policies,Q47011897,part of,strategies,Q185451,1,policies part of strategies,policies_Q47011897,strategies_Q185451
policies,Q47011897,part of,legislation,Q820655,1,policies part of legislation,policies_Q47011897,legislation_Q820655
policies,Q47011897,part of,higher education,Q136822,1,policies part of higher education,policies_Q47011897,higher education_Q136822
policies,Q47011897,has part,strategies,Q185451,1,policies has part strategies,policies_Q47011897,strategies_Q185451
policies,Q47011897,facet of,family unit,Q66837962,1,policies facet of family unit,policies_Q47011897,family unit_Q66837962
police force,Q35535,has part,legal services,Q1494322,1,police force has part legal services,police force_Q35535,legal services_Q1494322
police department,Q10636123,has part,Director of Public Prosecution,Q19226277,1,police department has part Director of Public Prosecution,police department_Q10636123,Director of Public Prosecution_Q19226277
poli cy,id-less,uses,repeaters,Q7313960,1,poli cy uses repeaters,poli cy_id-less,repeaters_Q7313960
pockets of poverty,id-less,subclass of,poverty,Q10294,1,pockets of poverty subclass of poverty,pockets of poverty_id-less,poverty_Q10294
population balance,Q2017154,instance of,balance,Q134566,1,population balance instance of balance,population balance_Q2017154,balance_Q134566
population control,Q4764961,facet of,population,Q33829,1,population control facet of population,population control_Q4764961,population_Q33829
population control,Q4764961,subclass of,control,Q11175,1,population control subclass of control,population control_Q4764961,control_Q11175
population initiatives,id-less,subclass of,evaluation,Q1379672,1,population initiatives subclass of evaluation,population initiatives_id-less,evaluation_Q1379672
primary phase,Q7243083,followed by,secondary import substitution phase,id-less,1,primary phase followed by secondary import substitution phase,primary phase_Q7243083,secondary import substitution phase_id-less
primary,Q669262,subclass of,health care,Q31207,1,primary subclass of health care,primary_Q669262,health care_Q31207
pricing,Q2516951,part of,water policy,Q15761055,1,pricing part of water policy,pricing_Q2516951,water policy_Q15761055
pri cing,id-less,instance of,grading,Q5591926,1,pri cing instance of grading,pri cing_id-less,grading_Q5591926
pri ces,Q104141755,instance of,gazetted,Q45242174,1,pri ces instance of gazetted,pri ces_Q104141755,gazetted_Q45242174
present,Q192613,opposite of,future generations,Q954025,1,present opposite of future generations,present_Q192613,future generations_Q954025
pregnancy,Q11995,has effect,abortion,Q8452,1,pregnancy has effect abortion,pregnancy_Q11995,abortion_Q8452
pre sent status,id-less,said to be the same as,drinking water,Q7892,1,pre sent status said to be the same as drinking water,pre sent status_id-less,drinking water_Q7892
practices,Q104710926,facet of,family unit,Q66837962,1,practices facet of family unit,practices_Q104710926,family unit_Q66837962
poverty alleviation,Q1824165,facet of,polic y,id-less,1,poverty alleviation facet of polic y,poverty alleviation_Q1824165,polic y_id-less
poverty,Q10294,subclass of,incidence,Q217690,1,poverty subclass of incidence,poverty_Q10294,incidence_Q217690
postal services,Q57616250,subclass of,services,Q114080183,1,postal services subclass of services,postal services_Q57616250,services_Q114080183
postal services,Q57616250,part of,custom er,id-less,1,postal services part of custom er,postal services_Q57616250,custom er_id-less
postal,Q700905,has part,ser vices,id-less,1,postal has part ser vices,postal_Q700905,ser vices_id-less
positions,Q100351980,part of,decision-making,Q1331926,1,positions part of decision-making,positions_Q100351980,decision-making_Q1331926
population statistics,Q7229821,subclass of,statistics,Q12483,1,population statistics subclass of statistics,population statistics_Q7229821,statistics_Q12483
population sector,id-less,facet of,management information s ystem,id-less,1,population sector facet of management information s ystem,population sector_id-less,management information s ystem_id-less
population of Cameroon,id-less,country,Cameroon,Q1009,1,population of Cameroon country Cameroon,population of Cameroon_id-less,Cameroon_Q1009
population issues,Q36818019,facet of,d evelopment planning,id-less,1,population issues facet of d evelopment planning,population issues_Q36818019,d evelopment planning_id-less
plantations,Q104710529,subclass of,forestry,Q38112,1,plantations subclass of forestry,plantations_Q104710529,forestry_Q38112
plant and game park,id-less,subclass of,recreational facilities,Q39841397,1,plant and game park subclass of recreational facilities,plant and game park_id-less,recreational facilities_Q39841397
plant and animal wild life park,id-less,subclass of,tourist facilities,Q114354958,1,plant and animal wild life park subclass of tourist facilities,plant and animal wild life park_id-less,tourist facilities_Q114354958
percentag e rate,id-less,subclass of,financing,Q6055890,1,percentag e rate subclass of financing,percentag e rate_id-less,financing_Q6055890
manufacturing industry,Q187939,instance of,industry,Q8148,1,manufacturing industry instance of industry,manufacturing industry_Q187939,industry_Q8148
pasture,Q30121,use,livestock,Q4767951,1,pasture use livestock,pasture_Q30121,livestock_Q4767951
partnership agreements,Q83065504,subclass of,management,Q2920921,1,partnership agreements subclass of management,partnership agreements_Q83065504,management_Q2920921
participation,Q1773152,part of,economic empowerment,Q63829080,1,participation part of economic empowerment,participation_Q1773152,economic empowerment_Q63829080
participati on of nationals,id-less,field of this occupation,road construction,Q2349677,1,participati on of nationals field of this occupation road construction,participati on of nationals_id-less,road construction_Q2349677
partic ipation,id-less,subclass of,policies,Q47011897,1,partic ipation subclass of policies,partic ipation_id-less,policies_Q47011897
parastatals,Q98082153,part of,departments,Q643589,1,parastatals part of departments,parastatals_Q98082153,departments_Q643589
parastatals,Q98082153,different from,NGOs,Q11788357,1,parastatals different from NGOs,parastatals_Q98082153,NGOs_Q11788357
pa rtners,id-less,part of,labour laws,Q78830905,1,pa rtners part of labour laws,pa rtners_id-less,labour laws_Q78830905
p rotection,id-less,part of,environmental,Q10485087,1,p rotection part of environmental,p rotection_id-less,environmental_Q10485087
p resented,id-less,instance of,strategies,Q185451,1,p resented instance of strategies,p resented_id-less,strategies_Q185451
p re-schools,id-less,subclass of,private education,Q11248105,1,p re-schools subclass of private education,p re-schools_id-less,private education_Q11248105
p olicy,id-less,part of,rational communications,id-less,1,p olicy part of rational communications,p olicy_id-less,rational communications_id-less
ownership,Q6498684,part of,economic empowerment,Q63829080,1,ownership part of economic empowerment,ownership_Q6498684,economic empowerment_Q63829080
owners,Q18129067,field of this occupation,m iners,id-less,1,owners field of this occupation m iners,owners_Q18129067,m iners_id-less
oversee operations,id-less,practiced by,board members,Q66169646,1,oversee operations practiced by board members,oversee operations_id-less,board members_Q66169646
organisational structures,Q57619842,facet of,control over-l oading,id-less,1,organisational structures facet of control over-l oading,organisational structures_Q57619842,control over-l oading_id-less
organisational functions,id-less,has part,personnel management,Q1056396,1,organisational functions has part personnel management,organisational functions_id-less,personnel management_Q1056396
opportunities.,id-less,subclass of,opportunities,Q84501571,1,opportunities. subclass of opportunities,opportunities._id-less,opportunities_Q84501571
pension funds,Q59648002,has part,inves ted,id-less,1,pension funds has part inves ted,pension funds_Q59648002,inves ted_id-less
performance targets,Q59904108,subclass of,targets,Q852162,1,performance targets subclass of targets,performance targets_Q59904108,targets_Q852162
planning system,Q39426886,subclass of,proc ess,id-less,1,planning system subclass of proc ess,planning system_Q39426886,proc ess_id-less
peri-urban,Q7380602,has part,urban areas,Q58259934,1,peri-urban has part urban areas,peri-urban_Q7380602,urban areas_Q58259934
planning,Q309100,has part,strategic guidelines,Q58505029,1,planning has part strategic guidelines,planning_Q309100,strategic guidelines_Q58505029
planning,Q309100,has part,analysis,Q7754,1,planning has part analysis,planning_Q309100,analysis_Q7754
planning,Q309100,has effect,monitoring,Q2143522,1,planning has effect monitoring,planning_Q309100,monitoring_Q2143522
planning,Q309100,facet of,national,Q53247,1,planning facet of national,planning_Q309100,national_Q53247
planning,Q309100,facet of,education,Q8434,1,planning facet of education,planning_Q309100,education_Q8434
piec es,id-less,subclass of,legislation,Q820655,1,piec es subclass of legislation,piec es_id-less,legislation_Q820655
physical,Q413,part of,social,Q345367,1,physical part of social,physical_Q413,social_Q345367
phans,Q7180500,subclass of,unemployed,Q28790169,1,phans subclass of unemployed,phans_Q7180500,unemployed_Q28790169
petroleum substitute,id-less,subclass of,substitutes,Q111689900,1,petroleum substitute subclass of substitutes,petroleum substitute_id-less,substitutes_Q111689900
pertai ning,id-less,instance of,legislation,Q820655,1,pertai ning instance of legislation,pertai ning_id-less,legislation_Q820655
persons with disabilities,Q74535604,subclass of,institutional,Q682969,1,persons with disabilities subclass of institutional,persons with disabilities_Q74535604,institutional_Q682969
persons with disabilities,Q74535604,subclass of,infrastructural,Q107407615,1,persons with disabilities subclass of infrastructural,persons with disabilities_Q74535604,infrastructural_Q107407615
persons with disabilities,Q74535604,subclass of,equal opportunities,Q5384128,1,persons with disabilities subclass of equal opportunities,persons with disabilities_Q74535604,equal opportunities_Q5384128
persons with disabilities,Q74535604,has effect,economic a nd social activities,id-less,1,persons with disabilities has effect economic a nd social activities,persons with disabilities_Q74535604,economic a nd social activities_id-less
persons with disabilitie,Q86752306,field of work,education,Q8434,1,persons with disabilitie field of work education,persons with disabilitie_Q86752306,education_Q8434
personnel management,Q1056396,part of,organisational functions,id-less,1,personnel management part of organisational functions,personnel management_Q1056396,organisational functions_id-less
personnel function,Q71441344,subclass of,function,Q11348,1,personnel function subclass of function,personnel function_Q71441344,function_Q11348
perso ns with disabilities,id-less,has part,women,Q467,1,perso ns with disabilities has part women,perso ns with disabilities_id-less,women_Q467
peri-urban,Q7380602,subclass of,urban,Q159313,1,peri-urban subclass of urban,peri-urban_Q7380602,urban_Q159313
penalties,Q100162405,opposite of,rewards,Q74750575,1,penalties opposite of rewards,penalties_Q100162405,rewards_Q74750575
